The evolution of Spanish urban structure during the twentieth century,11839968022103943063,2003,e
Urbanization in transforming economies,14044884037349844655,1999,th
The size distribution across all cities–double Pareto lognormal strikes,2329825130637771672,2010,mo
City size distribution across the OECD: Does the definition of cities matter?,13845426347877177075,2016,e
The emergence of cities: complexity and urban dynamics,10937307034282975523,2003,th
 Wage differentials and the spatial concentration of high‐technology industries,13649841736318678281,2009,mo
Cities and development,1512326282287568792,2010,mo
" Urbanization, Economic Geography, and Growth∗",7173528456662247486,NA,mo
Essays in regional and complex urban economics,16324585344039987582,2013,th
Zipf's law for Chinese cities: Rolling sample regressions,3408864705930728638,2010,e
Incomplete market dynamics and cross-sectional distributions,4438002746083149967,2014,mo
Surveying models in urban land studies,12461509638138559389,2012,th
A century of the evolution of the urban system in Brazil,18400991372826600499,2013,e
City size distributions as a consequence of the growth process,3556081881861560263,2002,mo
Urban hierarchies and city growth in the Balkans,3186561041591932150,2009,e
Urban growth and housing supply,963601000580977866,2006,e
Gravity model explained by the radiation model on a population landscape,2279343825808783308,2019,mo
Threshold transitions in a regional urban system,13954763461646265357,2011,e
 16. The Rise and Decline of the General Laws of Capitalism,17090721728215126780,2017,th
"Summing small cities does not make a large city: Polycentric urban regions and the provision of cultural, leisure and sports amenities",4862302888576039937,2008,e
Analyzing urbanization data using rural–urban interaction model and logistic growth model,10853383867421790517,2014,e
The influence of urban morphology on the resilience of cities following an earthquake,3295324966751059112,2013,e
Spatial structure and productivity in European regions,1368480291410211486,2022,e
 Regional and urban economics and economic development: theory and methods,9955629568711713814,2017,th
MetaZipf. A dynamic meta-analysis of city size distributions,7031562101522813712,2017,th
Zipf's law for cities and beyond: The case of Denmark,9307154354083878062,2001,e
Confronting the Mystery of Urban Hierarchy,5080684858198673899,1996,th
Spatial sorting,7822266699093525511,2014,th
"Population, light, and the size distribution of cities",12166848648026274484,2021,e
Urbanization and growth,16222444835127913158,2005,mo
 A new ranking of the world's largest cities—Do administrative units obscure morphological realities?,14734341817546879314,2019,e
Quelle est la nature de la croissance urbaine indienne?,11835912726068612021,2010,e
 Objets géographiques et processus de changement: approches spatio-temporelles,11048332309244664407,2014,th
Labour productivity in Auckland firms,4823269006930384760,2008,e
"Distance, land, and proximity: economic analysis and the evolution of cities",16134729832321180761,1999,mo
 Trinity Economics Papers,6356528913610466293,2013,th
Robust estimation of the Pareto tail index: a Monte Carlo analysis,11648763040661139575,2016,me
Research on China's urban development strategy based on arable land preservation,13247495747706692492,2011,e
 行政区划调整与人口城市化: 来自撤县设区的经验证据,12219521608294496091,NA,NA
The size distribution across all Cities: a unifying approach,4927184379913422217,2012,mo
A review on the characterization of signals and systems by power law distributions,10248906330571031633,2015,th
The geography of the European creative class: A rank-size analysis,13716898790068749712,2007,e
Network structure of production,13934023090007143367,2011,e
"On the parametric description of the French, German, Italian and Spanish city size distributions",9686924356734392122,2015,e
Complexity in urban development and management: Historical overview and opportunities,10376637079890458166,2009,th
 The evolution of Zipf's Law for US cities,5935752908214206170,2020,e
From imitation to innovation: Where is all that Chinese R&D going?,11686758663378105159,2022,e
" Trade openness, urban concentration and city-size growth in Turkey",16381960570071028705,2015,e
Meeting strangers and friends of friends: How random are social networks?,5688106899297293794,2007,e
 Urban growth: an approach,17842264686808763019,2012,mo
Constructing multi-level urban clusters based on population distributions and interactions,1818309294556321272,2023,mo
 The distribution of city sizes in Turkey: A failure of Zipf's law due to concavity,2947072062723409736,2021,e
Geographic automata systems,3351927862062134563,2005,th
The size distribution of cities and determinants of city growth in Turkey,17767292882482977586,2013,e
 中国农村改革与变迁: 30 年历程和经验分析,13463462232913723867,2008,NA
Complex landscapes of spatial interaction,14899094039359228098,2001,th
"Growth in a cross-section of cities: location, increasing returns or random growth?",8968276608392794848,2015,me
Urban land area and population growth: A new scaling relationship for metropolitan expansion,8096684358593624104,2007,e
"Spatial and temporal patterns in civil violence: Guatemala, 1977–1986",4545997100305603584,2002,e
Urbanization and industrial development in China,758254039027277194,2017,e
Simulating urban expansion using cellular automata model with spatiotemporally explicit representation of urban demand,922704202436232574,2023,mo
A thematic history of urban economic analysis ,3647599831074854745,2000,th
 Exploring creativity and urban development with agent-based modeling,15400737765518915982,2015,mo
 Urban spatial structure and economic growth in US metropolitan areas,12855525173863551714,2007,e
Dependency and urban growth: a critical review and reformulation of the concepts of primacy and rank-size,16691833357411225892,1981,th
The formation and growth of specialized cities: efficiency without developers or Malthusian traps,14736714376569017154,2005,mo
"Energie, territoire et Path dependence: enjeux spaciaux et territoriaux d'une déclinaison régionale de la transition énergétique en Provenc-Alpes-Côte d'Azur",12340118650913116341,2016,e
Measuring the size and growth of cities using nighttime light,12027568223921912759,2021,me
The area and population of cities: New insights from a different perspective on cities,18189181359021083740,2011,me
 Chinatown in Britain: Diffusions and concentrations of the British new wave Chinese immigration,14910781089389242560,2008,e
Scaling invariant distributions of firms' exit in OECD countries,5436682655025193581,2004,e
Inside the metropolis: the articulation of Spanish metropolitan areas into local labor markets,1005380173684218680,2015,e
Growth and location of economic activity: The spatial dynamics of industries in Canada 1971–2001,17654278939385096437,2006,e
Central place theory: An evaluation,483174162351553891,2017,mo
Gibrat's law and the growth of cities in Brazil: A panel data investigation,10147763170169891138,2004,e
The resilient city: on the determinants of successful urban economies,64958387451487450,2010,th
Spatial distribution of tourism activities: A polya urn process model of rank-size distribution,10491219737189701849,2020,mo
Why are large cities faster? Universal scaling and self-similarity in urban organization and dynamics,14025772712398782069,2008,mo
A unified theory of firm selection and growth,7485328013866882711,2016,mo
 Regional socio-economic transformation in Brazil,10103273067749955419,2012,e
